GEOID,State,Year,Type,GEO display_label,Households,Poverty Households,ALICE Households,Above ALICE Households,Source: American Community Survey,County
1210725,Florida,2023,Place,"Carrabelle city, Florida",762,69,283,410,5-Year,"Franklin County, Florida"
1210825,Florida,2023,Place,"Carrollwood CDP, Florida",14248,1079,5537,7632,5-Year,"Hillsborough County, Florida"
1210975,Florida,2023,Place,"Caryville town, Florida",111,27,45,39,5-Year,"Washington County, Florida"
1211050,Florida,2023,Place,"Casselberry city, Florida",13343,1877,5807,5659,5-Year,"Seminole County, Florida"
1211150,Florida,2023,Place,"Cedar Grove CDP, Florida",1144,210,499,435,5-Year,"Bay County, Florida"
1211225,Florida,2023,Place,"Cedar Key city, Florida",369,58,109,202,5-Year,"Levy County, Florida"
1211285,Florida,2023,Place,"Celebration CDP, Florida",4883,141,1590,3152,5-Year,"Osceola County, Florida"
1211325,Florida,2023,Place,"Center Hill city, Florida",405,70,152,183,5-Year,"Sumter County, Florida"
1211362,Florida,2023,Place,"Century town, Florida",772,247,395,130,5-Year,"Escambia County, Florida"
1211525,Florida,2023,Place,"Chaires CDP, Florida",199,7,28,164,5-Year,"Leon County, Florida"
1211625,Florida,2023,Place,"Charlotte Harbor CDP, Florida",2100,448,866,786,5-Year,"Charlotte County, Florida"
1211650,Florida,2023,Place,"Charlotte Park CDP, Florida",1070,86,452,532,5-Year,"Charlotte County, Florida"
1211800,Florida,2023,Place,"Chattahoochee city, Florida",665,128,299,238,5-Year,"Gadsden County, Florida"
1211912,Florida,2023,Place,"Cheval CDP, Florida",5200,319,1675,3206,5-Year,"Hillsborough County, Florida"
1211925,Florida,2023,Place,"Chiefland city, Florida",856,221,227,408,5-Year,"Levy County, Florida"
1211975,Florida,2023,Place,"Chipley city, Florida",1563,262,782,519,5-Year,"Washington County, Florida"
1212150,Florida,2023,Place,"Chokoloskee CDP, Florida",309,0,137,172,5-Year,"Collier County, Florida"
1212250,Florida,2023,Place,"Christmas CDP, Florida",637,95,156,386,5-Year,"Orange County, Florida"
1212275,Florida,2023,Place,"Chuluota CDP, Florida",806,148,195,463,5-Year,"Seminole County, Florida"
1212300,Florida,2023,Place,"Chumuckla CDP, Florida",384,0,76,308,5-Year,"Santa Rosa County, Florida"
1212325,Florida,2023,Place,"Cinco Bayou town, Florida",315,25,86,204,5-Year,"Okaloosa County, Florida"
1212412,Florida,2023,Place,"Citrus Hills CDP, Florida",4208,378,927,2903,5-Year,"Citrus County, Florida"
1212425,Florida,2023,Place,"Citrus Park CDP, Florida",11164,1320,3346,6498,5-Year,"Hillsborough County, Florida"
1212450,Florida,2023,Place,"Citrus Springs CDP, Florida",4329,458,1568,2303,5-Year,"Citrus County, Florida"
1212675,Florida,2023,Place,"Clarcona CDP, Florida",1667,547,414,706,5-Year,"Orange County, Florida"
1212925,Florida,2023,Place,"Clermont city, Florida",16918,1117,6244,9557,5-Year,"Lake County, Florida"
1212950,Florida,2023,Place,"Cleveland CDP, Florida",1559,124,841,594,5-Year,"Charlotte County, Florida"
1213000,Florida,2023,Place,"Clewiston city, Florida",2684,273,1077,1334,5-Year,"Hendry County, Florida"
1213150,Florida,2023,Place,"Cocoa city, Florida",8379,939,3700,3740,5-Year,"Brevard County, Florida"
1213175,Florida,2023,Place,"Cocoa Beach city, Florida",5972,581,1926,3465,5-Year,"Brevard County, Florida"
1213225,Florida,2023,Place,"Cocoa West CDP, Florida",2603,741,1231,631,5-Year,"Brevard County, Florida"
1213275,Florida,2023,Place,"Coconut Creek city, Florida",24107,2512,9303,12292,5-Year,"Broward County, Florida"
1213400,Florida,2023,Place,"Coleman city, Florida",286,23,146,117,5-Year,"Sumter County, Florida"
1213775,Florida,2023,Place,"Combee Settlement CDP, Florida",1761,499,702,560,5-Year,"Polk County, Florida"
1213965,Florida,2023,Place,"Connerton CDP, Florida",1685,80,240,1365,5-Year,"Pasco County, Florida"
1214050,Florida,2023,Place,"Conway CDP, Florida",5328,396,1518,3414,5-Year,"Orange County, Florida"
1214125,Florida,2023,Place,"Cooper City city, Florida",11053,702,2432,7919,5-Year,"Broward County, Florida"
1214250,Florida,2023,Place,"Coral Gables city, Florida",18941,1989,4175,12777,5-Year,"Miami-Dade County, Florida"
1214400,Florida,2023,Place,"Coral Springs city, Florida",44659,3710,14215,26734,5-Year,"Broward County, Florida"
1214412,Florida,2023,Place,"Coral Terrace CDP, Florida",8099,978,2977,4144,5-Year,"Miami-Dade County, Florida"
1214700,Florida,2023,Place,"Cortez CDP, Florida",2488,311,698,1479,5-Year,"Manatee County, Florida"
1214850,Florida,2023,Place,"Cottondale town, Florida",357,71,135,151,5-Year,"Jackson County, Florida"
1214895,Florida,2023,Place,"Country Club CDP, Florida",18052,2364,7936,7752,5-Year,"Miami-Dade County, Florida"
1215055,Florida,2023,Place,"Country Walk CDP, Florida",5553,413,1105,4035,5-Year,"Miami-Dade County, Florida"
1215300,Florida,2023,Place,"Crawfordville CDP, Florida",2305,78,923,1304,5-Year,"Wakulla County, Florida"
1215325,Florida,2023,Place,"Crescent Beach CDP, Florida",505,24,188,293,5-Year,"St. Johns County, Florida"
1215375,Florida,2023,Place,"Crescent City city, Florida",683,273,206,204,5-Year,"Putnam County, Florida"
1215475,Florida,2023,Place,"Crestview city, Florida",10273,1011,3551,5711,5-Year,"Okaloosa County, Florida"
1215515,Florida,2023,Place,"Crooked Lake Park CDP, Florida",725,176,224,325,5-Year,"Polk County, Florida"
1215575,Florida,2023,Place,"Cross City town, Florida",1001,242,304,455,5-Year,"Dixie County, Florida"
1215725,Florida,2023,Place,"Crystal Lake CDP, Florida",1930,473,701,756,5-Year,"Polk County, Florida"
1215775,Florida,2023,Place,"Crystal River city, Florida",1551,276,535,740,5-Year,"Citrus County, Florida"
1215800,Florida,2023,Place,"Crystal Springs CDP, Florida",510,97,187,226,5-Year,"Pasco County, Florida"
1215862,Florida,2023,Place,"Cudjoe Key CDP, Florida",1053,97,362,594,5-Year,"Monroe County, Florida"
1215968,Florida,2023,Place,"Cutler Bay town, Florida",14535,1556,5417,7562,5-Year,"Miami-Dade County, Florida"
1216050,Florida,2023,Place,"Cypress Gardens CDP, Florida",3697,389,927,2381,5-Year,"Polk County, Florida"
1216062,Florida,2023,Place,"Cypress Lake CDP, Florida",6936,819,2827,3290,5-Year,"Lee County, Florida"
1216100,Florida,2023,Place,"Cypress Quarters CDP, Florida",461,123,170,168,5-Year,"Okeechobee County, Florida"
1216125,Florida,2023,Place,"Dade City city, Florida",2749,445,1208,1096,5-Year,"Pasco County, Florida"
1216175,Florida,2023,Place,"Dade City North CDP, Florida",800,266,319,215,5-Year,"Pasco County, Florida"
1216335,Florida,2023,Place,"Dania Beach city, Florida",13657,2648,5922,5087,5-Year,"Broward County, Florida"
1216450,Florida,2023,Place,"Davenport city, Florida",3406,490,1149,1767,5-Year,"Polk County, Florida"
1216475,Florida,2023,Place,"Davie town, Florida",38377,4405,12564,21408,5-Year,"Broward County, Florida"
1216550,Florida,2023,Place,"Daytona Beach Shores city, Florida",3127,301,1045,1781,5-Year,"Volusia County, Florida"
1216675,Florida,2023,Place,"DeBary city, Florida",9420,573,2534,6313,5-Year,"Volusia County, Florida"
1216800,Florida,2023,Place,"DeFuniak Springs city, Florida",2436,522,861,1053,5-Year,"Walton County, Florida"
1216875,Florida,2023,Place,"DeLand city, Florida",14805,1839,4661,8305,5-Year,"Volusia County, Florida"
1216937,Florida,2023,Place,"DeLand Southwest CDP, Florida",365,113,140,112,5-Year,"Volusia County, Florida"
1216975,Florida,2023,Place,"De Leon Springs CDP, Florida",883,27,509,347,5-Year,"Volusia County, Florida"
1217100,Florida,2023,Place,"Delray Beach city, Florida",29179,3204,11064,14911,5-Year,"Palm Beach County, Florida"
1217200,Florida,2023,Place,"Deltona city, Florida",33257,3529,10457,19271,5-Year,"Volusia County, Florida"
1217273,Florida,2023,Place,"Desoto Acres CDP, Florida",249,23,64,162,5-Year,"Sarasota County, Florida"
1217300,Florida,2023,Place,"Desoto Lakes CDP, Florida",665,128,204,333,5-Year,"Sarasota County, Florida"
1217325,Florida,2023,Place,"Destin city, Florida",6206,526,1539,4141,5-Year,"Okaloosa County, Florida"
1217725,Florida,2023,Place,"Doctor Phillips CDP, Florida",5071,610,960,3501,5-Year,"Orange County, Florida"
1217935,Florida,2023,Place,"Doral city, Florida",24922,2767,8492,13663,5-Year,"Miami-Dade County, Florida"
1218075,Florida,2023,Place,"Dover CDP, Florida",1054,246,520,288,5-Year,"Hillsborough County, Florida"
1218425,Florida,2023,Place,"Duck Key CDP, Florida",300,14,65,221,5-Year,"Monroe County, Florida"
1218550,Florida,2023,Place,"Dundee town, Florida",1945,451,882,612,5-Year,"Polk County, Florida"
1218575,Florida,2023,Place,"Dunedin city, Florida",17632,1571,6886,9175,5-Year,"Pinellas County, Florida"
1218675,Florida,2023,Place,"Dunnellon city, Florida",1309,225,651,433,5-Year,"Marion County, Florida"
1218875,Florida,2023,Place,"Eagle Lake city, Florida",1053,97,347,609,5-Year,"Polk County, Florida"
1219025,Florida,2023,Place,"East Bronson CDP, Florida",1142,234,426,482,5-Year,"Levy County, Florida"
1219206,Florida,2023,Place,"East Lake CDP, Florida",13614,987,4046,8581,5-Year,"Pinellas County, Florida"
1219212,Florida,2023,Place,"East Lake-Orient Park CDP, Florida",11103,1845,4772,4486,5-Year,"Hillsborough County, Florida"
1219275,Florida,2023,Place,"East Milton CDP, Florida",3639,618,1286,1735,5-Year,"Santa Rosa County, Florida"
1219350,Florida,2023,Place,"East Palatka CDP, Florida",447,84,62,301,5-Year,"Putnam County, Florida"
1219400,Florida,2023,Place,"Eastpoint CDP, Florida",996,245,182,569,5-Year,"Franklin County, Florida"
1219575,Florida,2023,Place,"East Williston CDP, Florida",312,217,73,22,5-Year,"Levy County, Florida"
1219650,Florida,2023,Place,"Eatonville town, Florida",1080,312,539,229,5-Year,"Orange County, Florida"
1219725,Florida,2023,Place,"Ebro town, Florida",112,11,34,67,5-Year,"Washington County, Florida"
1219825,Florida,2023,Place,"Edgewater city, Florida",10809,955,4793,5061,5-Year,"Volusia County, Florida"
1219900,Florida,2023,Place,"Edgewood city, Florida",1105,90,261,754,5-Year,"Orange County, Florida"
1220050,Florida,2023,Place,"Eglin AFB CDP, Florida",893,45,292,556,5-Year,"Okaloosa County, Florida"
